Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prototyp Filialsuche (RC18) 13_03_2018,Safari 11,,2018-03-20 09:14:46,2018-03-20 09:34:26,"19m - 40,345s",FAILED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/01_Testfall,Safari 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-20 09:14:46,2018-03-20 09:15:11,"24,210s",PASSED
openBrowser,Safari 11,,2018-03-20 09:14:47,2018-03-20 09:15:03,"15,607s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 09:15:03,2018-03-20 09:15:03,"0,048s",PASSED
maximizeWindow,Safari 11,,2018-03-20 09:15:03,2018-03-20 09:15:03,"0,059s",PASSED
navigateToUrl,Safari 11,,2018-03-20 09:15:03,2018-03-20 09:15:04,"1,484s",PASSED
delay,Safari 11,,2018-03-20 09:15:04,2018-03-20 09:15:09,"5,062s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Safari 11,,2018-03-20 09:15:09,2018-03-20 09:15:09,"0,241s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Safari 11,,2018-03-20 09:15:09,2018-03-20 09:15:10,"0,989s",PASSED
closeBrowser,Safari 11,,2018-03-20 09:15:10,2018-03-20 09:15:11,"0,113s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/02_Testfall,Safari 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-20 09:15:11,2018-03-20 09:15:22,"11,785s",PASSED
openBrowser,Safari 11,,2018-03-20 09:15:11,2018-03-20 09:15:14,"2,941s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 09:15:14,2018-03-20 09:15:14,"0,007s",PASSED
maximizeWindow,Safari 11,,2018-03-20 09:15:14,2018-03-20 09:15:14,"0,054s",PASSED
navigateToUrl,Safari 11,,2018-03-20 09:15:14,2018-03-20 09:15:17,"3,235s",PASSED
delay,Safari 11,,2018-03-20 09:15:17,2018-03-20 09:15:22,"5,005s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Safari 11,,2018-03-20 09:15:22,2018-03-20 09:15:22,"0,026s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Safari 11,,2018-03-20 09:15:22,2018-03-20 09:15:22,"0,054s",PASSED
closeBrowser,Safari 11,,2018-03-20 09:15:22,2018-03-20 09:15:22,"0,085s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/03_Testfall,Safari 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-20 09:15:22,2018-03-20 09:15:35,"12,872s",PASSED
openBrowser,Safari 11,,2018-03-20 09:15:23,2018-03-20 09:15:25,"2,472s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 09:15:25,2018-03-20 09:15:25,"0,008s",PASSED
maximizeWindow,Safari 11,,2018-03-20 09:15:25,2018-03-20 09:15:25,"0,037s",PASSED
navigateToUrl,Safari 11,,2018-03-20 09:15:25,2018-03-20 09:15:30,"4,319s",PASSED
delay,Safari 11,,2018-03-20 09:15:30,2018-03-20 09:15:35,"5,023s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Safari 11,,2018-03-20 09:15:35,2018-03-20 09:15:35,"0,090s",PASSED
