Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prototyp Filialsuche (RC18) 13_03_2018,Firefox 58.0,,2018-03-13 10:44:50,2018-03-13 11:10:36,"25m - 45,814s",FAILED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/01_Testfall,Firefox 58.0,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-13 10:44:52,2018-03-13 10:45:33,"40,745s",PASSED
openBrowser,Firefox 58.0,,2018-03-13 10:44:53,2018-03-13 10:45:12,"19,259s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-13 10:45:12,2018-03-13 10:45:12,"0,011s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:45:12,2018-03-13 10:45:12,"0,073s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-13 10:45:12,2018-03-13 10:45:23,"11,023s",PASSED
delay,Firefox 58.0,,2018-03-13 10:45:23,2018-03-13 10:45:28,"5,014s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Firefox 58.0,,2018-03-13 10:45:28,2018-03-13 10:45:28,"0,047s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Firefox 58.0,,2018-03-13 10:45:28,2018-03-13 10:45:32,"3,910s",PASSED
closeBrowser,Firefox 58.0,,2018-03-13 10:45:32,2018-03-13 10:45:33,"0,628s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/02_Testfall,Firefox 58.0,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-13 10:45:33,2018-03-13 10:45:55,"22,104s",PASSED
openBrowser,Firefox 58.0,,2018-03-13 10:45:33,2018-03-13 10:45:45,"12,576s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-13 10:45:45,2018-03-13 10:45:45,"0,004s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:45:45,2018-03-13 10:45:46,"0,033s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-13 10:45:46,2018-03-13 10:45:49,"2,992s",PASSED
delay,Firefox 58.0,,2018-03-13 10:45:49,2018-03-13 10:45:54,"5,001s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Firefox 58.0,,2018-03-13 10:45:54,2018-03-13 10:45:54,"0,014s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Firefox 58.0,,2018-03-13 10:45:54,2018-03-13 10:45:54,"0,099s",PASSED
closeBrowser,Firefox 58.0,,2018-03-13 10:45:54,2018-03-13 10:45:55,"1,251s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/03_Testfall,Firefox 58.0,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-13 10:45:55,2018-03-13 10:46:53,"58,495s",PASSED
openBrowser,Firefox 58.0,,2018-03-13 10:45:55,2018-03-13 10:46:14,"19,010s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-13 10:46:14,2018-03-13 10:46:14,"0,006s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:46:14,2018-03-13 10:46:14,"0,062s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-13 10:46:14,2018-03-13 10:46:46,"31,698s",PASSED
delay,Firefox 58.0,,2018-03-13 10:46:46,2018-03-13 10:46:51,"5,002s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Firefox 58.0,,2018-03-13 10:46:51,2018-03-13 10:46:51,"0,017s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Firefox 58.0,,2018-03-13 10:46:51,2018-03-13 10:46:52,"0,735s",PASSED
closeBrowser,Firefox 58.0,,2018-03-13 10:46:52,2018-03-13 10:46:53,"1,754s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/04_Testfall,Firefox 58.0,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-13 10:46:53,2018-03-13 10:47:22,"28,791s",PASSED
openBrowser,Firefox 58.0,,2018-03-13 10:46:54,2018-03-13 10:47:11,"17,274s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-13 10:47:11,2018-03-13 10:47:11,"0,004s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:47:11,2018-03-13 10:47:11,"0,056s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-13 10:47:11,2018-03-13 10:47:15,"4,350s",PASSED
delay,Firefox 58.0,,2018-03-13 10:47:15,2018-03-13 10:47:20,"5,001s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Firefox 58.0,,2018-03-13 10:47:20,2018-03-13 10:47:20,"0,014s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Firefox 58.0,,2018-03-13 10:47:20,2018-03-13 10:47:21,"0,610s",PASSED
closeBrowser,Firefox 58.0,,2018-03-13 10:47:21,2018-03-13 10:47:22,"1,229s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/05_Testfall,Firefox 58.0,initial: Alle Filial-Akk. sind zugeklappt,2018-03-13 10:47:22,2018-03-13 10:47:43,"21,102s",PASSED
openBrowser,Firefox 58.0,,2018-03-13 10:47:22,2018-03-13 10:47:34,"12,090s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:47:34,2018-03-13 10:47:34,"0,045s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-13 10:47:34,2018-03-13 10:47:34,"0,009s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-13 10:47:34,2018-03-13 10:47:38,"3,376s",PASSED
delay,Firefox 58.0,,2018-03-13 10:47:38,2018-03-13 10:47:43,"5,047s",PASSED
verifyElementNotPresent,Firefox 58.0,,2018-03-13 10:47:43,2018-03-13 10:47:43,"0,046s",PASSED
closeBrowser,Firefox 58.0,,2018-03-13 10:47:43,2018-03-13 10:47:43,"0,382s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/06_Testfall,Firefox 58.0,initial: Alle Filial-Akk. sind zugeklappt,2018-03-13 10:47:43,2018-03-13 10:48:11,"28,034s",PASSED
openBrowser,Firefox 58.0,,2018-03-13 10:47:43,2018-03-13 10:47:56,"12,415s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:47:56,2018-03-13 10:47:56,"0,066s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-13 10:47:56,2018-03-13 10:47:56,"0,007s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-13 10:47:56,2018-03-13 10:48:06,"9,783s",PASSED
delay,Firefox 58.0,,2018-03-13 10:48:06,2018-03-13 10:48:11,"5,001s",PASSED
verifyElementNotPresent,Firefox 58.0,,2018-03-13 10:48:11,2018-03-13 10:48:11,"0,027s",PASSED
closeBrowser,Firefox 58.0,,2018-03-13 10:48:11,2018-03-13 10:48:11,"0,619s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/07_Testfall,Firefox 58.0,initial: Alle Filial-Akk. sind zugeklappt,2018-03-13 10:48:11,2018-03-13 10:48:34,"22,847s",PASSED
openBrowser,Firefox 58.0,,2018-03-13 10:48:11,2018-03-13 10:48:19,"7,639s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:48:19,2018-03-13 10:48:20,"0,709s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-13 10:48:20,2018-03-13 10:48:20,"0,075s",PASSED
