Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
deleteAllCookies,Safari 11,,2018-03-22 18:28:05,2018-03-22 18:28:06,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:28:06,2018-03-22 18:28:08,"2,200s",PASSED
delay,Safari 11,,2018-03-22 18:28:08,2018-03-22 18:28:13,"5,006s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-22 18:28:13,2018-03-22 18:28:13,"0,050s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:28:13,2018-03-22 18:28:13,"0,086s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/07_Testfall,Safari 11,initial: Alle Filial-Akk. sind zugeklappt,2018-03-22 18:28:13,2018-03-22 18:28:22,"9,594s",PASSED
openBrowser,Safari 11,,2018-03-22 18:28:13,2018-03-22 18:28:16,"2,413s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:28:16,2018-03-22 18:28:16,"0,021s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:28:16,2018-03-22 18:28:16,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:28:16,2018-03-22 18:28:17,"1,652s",PASSED
delay,Safari 11,,2018-03-22 18:28:17,2018-03-22 18:28:22,"5,041s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-22 18:28:22,2018-03-22 18:28:22,"0,132s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:28:22,2018-03-22 18:28:22,"0,087s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/08_Testfall,Safari 11,initial: Alle Filial-Akk. sind zugeklappt,2018-03-22 18:28:22,2018-03-22 18:28:36,"13,820s",PASSED
openBrowser,Safari 11,,2018-03-22 18:28:23,2018-03-22 18:28:25,"2,086s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:28:25,2018-03-22 18:28:25,"0,022s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:28:25,2018-03-22 18:28:25,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:28:25,2018-03-22 18:28:31,"6,349s",PASSED
delay,Safari 11,,2018-03-22 18:28:31,2018-03-22 18:28:36,"5,040s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-22 18:28:36,2018-03-22 18:28:36,"0,051s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:28:36,2018-03-22 18:28:36,"0,080s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/09_Testfall,Safari 11,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-22 18:28:36,2018-03-22 18:28:50,"13,994s",PASSED
openBrowser,Safari 11,,2018-03-22 18:28:36,2018-03-22 18:28:39,"2,103s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:28:39,2018-03-22 18:28:39,"0,024s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:28:39,2018-03-22 18:28:39,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:28:39,2018-03-22 18:28:44,"4,903s",PASSED
delay,Safari 11,,2018-03-22 18:28:44,2018-03-22 18:28:49,"5,045s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-22 18:28:49,2018-03-22 18:28:50,"1,684s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:28:50,2018-03-22 18:28:50,"0,078s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/10_Testfall,Safari 11,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-22 18:28:50,2018-03-22 18:29:05,"15,079s",PASSED
openBrowser,Safari 11,,2018-03-22 18:28:51,2018-03-22 18:28:53,"2,380s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:28:53,2018-03-22 18:28:53,"0,022s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:28:53,2018-03-22 18:28:53,"0,007s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:28:53,2018-03-22 18:28:56,"3,097s",PASSED
delay,Safari 11,,2018-03-22 18:28:56,2018-03-22 18:29:01,"5,003s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-22 18:29:01,2018-03-22 18:29:05,"4,245s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:29:05,2018-03-22 18:29:05,"0,089s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/11_Testfall,Safari 11,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-22 18:29:05,2018-03-22 18:29:19,"13,511s",PASSED
openBrowser,Safari 11,,2018-03-22 18:29:06,2018-03-22 18:29:08,"2,090s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:29:08,2018-03-22 18:29:08,"0,027s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:29:08,2018-03-22 18:29:08,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:29:08,2018-03-22 18:29:12,"4,493s",PASSED
delay,Safari 11,,2018-03-22 18:29:12,2018-03-22 18:29:17,"5,037s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-22 18:29:17,2018-03-22 18:29:19,"1,593s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:29:19,2018-03-22 18:29:19,"0,075s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/12_Testfall,Safari 11,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-22 18:29:19,2018-03-22 18:29:33,"14,278s",PASSED
openBrowser,Safari 11,,2018-03-22 18:29:19,2018-03-22 18:29:22,"2,456s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:29:22,2018-03-22 18:29:22,"0,027s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:29:22,2018-03-22 18:29:22,"0,005s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:29:22,2018-03-22 18:29:28,"6,544s",PASSED
delay,Safari 11,,2018-03-22 18:29:28,2018-03-22 18:29:33,"5,017s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-22 18:29:33,2018-03-22 18:29:33,"0,029s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:29:33,2018-03-22 18:29:33,"0,063s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/13_Testfall,Safari 11,Filial-count=54\nInitial sind alle Filialen einer Bank angezeigt\n(Akk. und Filial-Icons),2018-03-22 18:29:33,2018-03-22 18:29:48,"14,381s",FAILED
openBrowser,Safari 11,,2018-03-22 18:29:34,2018-03-22 18:29:36,"2,365s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:29:36,2018-03-22 18:29:36,"0,006s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:29:36,2018-03-22 18:29:36,"0,019s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:29:36,2018-03-22 18:29:42,"6,031s",PASSED
