Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Safari 11,,2018-03-20 20:05:06,2018-03-20 20:05:08,"1,841s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/15_Testfall,Safari 11,Es wird Paginierung bei Auswahl eines Ortes (Berlin) gepr\u00FCft,2018-03-20 20:05:08,2018-03-20 20:05:27,"19,869s",FAILED
openBrowser,Safari 11,,2018-03-20 20:05:09,2018-03-20 20:05:13,"4,679s",PASSED
maximizeWindow,Safari 11,,2018-03-20 20:05:13,2018-03-20 20:05:13,"0,049s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 20:05:13,2018-03-20 20:05:13,"0,014s",PASSED
navigateToUrl,Safari 11,,2018-03-20 20:05:13,2018-03-20 20:05:16,"2,274s",PASSED
delay,Safari 11,,2018-03-20 20:05:16,2018-03-20 20:05:21,"5,011s",PASSED
click,Safari 11,,2018-03-20 20:05:21,2018-03-20 20:05:21,"0,687s",PASSED
delay,Safari 11,,2018-03-20 20:05:21,2018-03-20 20:05:23,"2,020s",PASSED
mouseOver,Safari 11,,2018-03-20 20:05:23,2018-03-20 20:05:24,"0,283s",PASSED
delay,Safari 11,,2018-03-20 20:05:24,2018-03-20 20:05:26,"2,016s",PASSED
click,Safari 11,,2018-03-20 20:05:26,2018-03-20 20:05:27,"1,868s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/16_Testfall,Safari 11,Es wird Paginierung bei Auswahl eines Ortes (Berlin) gepr\u00FCft,2018-03-20 20:05:28,2018-03-20 20:05:54,"25,974s",PASSED
openBrowser,Safari 11,,2018-03-20 20:05:28,2018-03-20 20:05:33,"4,739s",PASSED
maximizeWindow,Safari 11,,2018-03-20 20:05:33,2018-03-20 20:05:33,"0,051s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 20:05:33,2018-03-20 20:05:33,"0,017s",PASSED
navigateToUrl,Safari 11,,2018-03-20 20:05:33,2018-03-20 20:05:38,"4,588s",PASSED
delay,Safari 11,,2018-03-20 20:05:38,2018-03-20 20:05:43,"5,033s",PASSED
delay,Safari 11,,2018-03-20 20:05:43,2018-03-20 20:05:45,"2,009s",PASSED
click,Safari 11,,2018-03-20 20:05:45,2018-03-20 20:05:47,"1,958s",PASSED
click,Safari 11,,2018-03-20 20:05:47,2018-03-20 20:05:47,"0,303s",PASSED
click,Safari 11,,2018-03-20 20:05:47,2018-03-20 20:05:47,"0,307s",PASSED
click,Safari 11,,2018-03-20 20:05:47,2018-03-20 20:05:48,"0,270s",PASSED
click,Safari 11,,2018-03-20 20:05:48,2018-03-20 20:05:48,"0,261s",PASSED
click,Safari 11,,2018-03-20 20:05:48,2018-03-20 20:05:48,"0,287s",PASSED
click,Safari 11,,2018-03-20 20:05:48,2018-03-20 20:05:48,"0,243s",PASSED
click,Safari 11,,2018-03-20 20:05:48,2018-03-20 20:05:49,"0,216s",PASSED
click,Safari 11,,2018-03-20 20:05:49,2018-03-20 20:05:49,"0,220s",PASSED
click,Safari 11,,2018-03-20 20:05:49,2018-03-20 20:05:49,"0,296s",PASSED
click,Safari 11,,2018-03-20 20:05:49,2018-03-20 20:05:49,"0,303s",PASSED
click,Safari 11,,2018-03-20 20:05:49,2018-03-20 20:05:50,"0,328s",PASSED
click,Safari 11,,2018-03-20 20:05:50,2018-03-20 20:05:50,"0,384s",PASSED
click,Safari 11,,2018-03-20 20:05:50,2018-03-20 20:05:50,"0,283s",PASSED
click,Safari 11,,2018-03-20 20:05:50,2018-03-20 20:05:51,"0,377s",PASSED
click,Safari 11,,2018-03-20 20:05:51,2018-03-20 20:05:51,"0,500s",PASSED
click,Safari 11,,2018-03-20 20:05:51,2018-03-20 20:05:52,"0,538s",PASSED
click,Safari 11,,2018-03-20 20:05:52,2018-03-20 20:05:52,"0,427s",PASSED
click,Safari 11,,2018-03-20 20:05:52,2018-03-20 20:05:52,"0,230s",PASSED
click,Safari 11,,2018-03-20 20:05:52,2018-03-20 20:05:53,"0,227s",PASSED
click,Safari 11,,2018-03-20 20:05:53,2018-03-20 20:05:53,"0,258s",PASSED
click,Safari 11,,2018-03-20 20:05:53,2018-03-20 20:05:53,"0,285s",PASSED
click,Safari 11,,2018-03-20 20:05:53,2018-03-20 20:05:53,"0,208s",PASSED
closeBrowser,Safari 11,,2018-03-20 20:05:53,2018-03-20 20:05:54,"0,065s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/17_Testfall,Safari 11,"Es wird Paginierung nach Eingabe von Berlin gepr\u00FCft.\nCheck \""Bargeld im Einzelhandel\"" wird angeklickt.",2018-03-20 20:05:54,2018-03-20 20:06:23,"29,369s",PASSED
openBrowser,Safari 11,,2018-03-20 20:05:54,2018-03-20 20:05:59,"4,273s",PASSED
maximizeWindow,Safari 11,,2018-03-20 20:05:59,2018-03-20 20:05:59,"0,060s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 20:05:59,2018-03-20 20:05:59,"0,014s",PASSED
navigateToUrl,Safari 11,,2018-03-20 20:05:59,2018-03-20 20:06:03,"4,731s",PASSED
click,Safari 11,,2018-03-20 20:06:03,2018-03-20 20:06:04,"0,359s",PASSED
delay,Safari 11,,2018-03-20 20:06:04,2018-03-20 20:06:06,"2,007s",PASSED
setText,Safari 11,,2018-03-20 20:06:06,2018-03-20 20:06:08,"2,341s",PASSED
delay,Safari 11,,2018-03-20 20:06:08,2018-03-20 20:06:10,"2,010s",PASSED
click,Safari 11,,2018-03-20 20:06:10,2018-03-20 20:06:10,"0,127s",PASSED
delay,Safari 11,,2018-03-20 20:06:10,2018-03-20 20:06:12,"2,046s",PASSED
click,Safari 11,,2018-03-20 20:06:12,2018-03-20 20:06:20,"7,739s",PASSED
click,Safari 11,,2018-03-20 20:06:20,2018-03-20 20:06:20,"0,458s",PASSED
click,Safari 11,,2018-03-20 20:06:20,2018-03-20 20:06:21,"0,280s",PASSED
click,Safari 11,,2018-03-20 20:06:21,2018-03-20 20:06:21,"0,233s",PASSED
click,Safari 11,,2018-03-20 20:06:21,2018-03-20 20:06:21,"0,242s",PASSED
click,Safari 11,,2018-03-20 20:06:21,2018-03-20 20:06:22,"0,279s",PASSED
click,Safari 11,,2018-03-20 20:06:22,2018-03-20 20:06:22,"0,309s",PASSED
click,Safari 11,,2018-03-20 20:06:22,2018-03-20 20:06:22,"0,183s",PASSED
click,Safari 11,,2018-03-20 20:06:22,2018-03-20 20:06:22,"0,165s",PASSED
click,Safari 11,,2018-03-20 20:06:22,2018-03-20 20:06:22,"0,146s",PASSED
click,Safari 11,,2018-03-20 20:06:22,2018-03-20 20:06:22,"0,147s",PASSED
click,Safari 11,,2018-03-20 20:06:22,2018-03-20 20:06:23,"0,150s",PASSED
click,Safari 11,,2018-03-20 20:06:23,2018-03-20 20:06:23,"0,180s",PASSED
closeBrowser,Safari 11,,2018-03-20 20:06:23,2018-03-20 20:06:23,"0,107s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/18_Testfall,Safari 11,"GAA-count=70 (Dropdown: Ergebnis bei Auswahl eines Ortes Potsdam (count=2))\nAlle Filialen, bei denen im Feld \""City\"" dieser Ort steht, sind angezeigt (Akk. und Filial-Icons) ",2018-03-20 20:06:23,2018-03-20 20:06:40,"16,856s",FAILED
openBrowser,Safari 11,,2018-03-20 20:06:24,2018-03-20 20:06:27,"3,377s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 20:06:27,2018-03-20 20:06:28,"0,008s",PASSED
maximizeWindow,Safari 11,,2018-03-20 20:06:28,2018-03-20 20:06:28,"0,026s",PASSED
navigateToUrl,Safari 11,,2018-03-20 20:06:28,2018-03-20 20:06:30,"2,144s",PASSED
delay,Safari 11,,2018-03-20 20:06:30,2018-03-20 20:06:35,"5,042s",PASSED
click,Safari 11,,2018-03-20 20:06:35,2018-03-20 20:06:35,"0,056s",PASSED
delay,Safari 11,,2018-03-20 20:06:35,2018-03-20 20:06:37,"2,009s",PASSED
mouseOver,Safari 11,,2018-03-20 20:06:37,2018-03-20 20:06:37,"0,564s",PASSED
delay,Safari 11,,2018-03-20 20:06:37,2018-03-20 20:06:39,"2,003s",PASSED
click,Safari 11,,2018-03-20 20:06:39,2018-03-20 20:06:40,"0,479s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/19TF,Safari 11,Es wird Paginierung nach Eingabe von Berlin gepr\u00FCft,2018-03-20 20:06:40,2018-03-20 20:06:53,"13,406s",PASSED
openBrowser,Safari 11,,2018-03-20 20:06:40,2018-03-20 20:06:42,"2,202s",PASSED
maximizeWindow,Safari 11,,2018-03-20 20:06:42,2018-03-20 20:06:42,"0,026s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 20:06:42,2018-03-20 20:06:42,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-20 20:06:42,2018-03-20 20:06:47,"4,392s",PASSED
click,Safari 11,,2018-03-20 20:06:47,2018-03-20 20:06:47,"0,062s",PASSED
delay,Safari 11,,2018-03-20 20:06:47,2018-03-20 20:06:49,"2,019s",PASSED
setText,Safari 11,,2018-03-20 20:06:49,2018-03-20 20:06:49,"0,383s",PASSED
delay,Safari 11,,2018-03-20 20:06:49,2018-03-20 20:06:51,"2,002s",PASSED
click,Safari 11,,2018-03-20 20:06:51,2018-03-20 20:06:51,"0,044s",PASSED
delay,Safari 11,,2018-03-20 20:06:51,2018-03-20 20:06:53,"2,008s",PASSED
closeBrowser,Safari 11,,2018-03-20 20:06:53,2018-03-20 20:06:53,"0,066s",PASSED
