Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
deleteAllCookies,Safari 11,,2018-03-20 19:43:30,2018-03-20 19:43:30,"0,008s",PASSED
navigateToUrl,Safari 11,,2018-03-20 19:43:30,2018-03-20 19:43:32,"1,609s",PASSED
delay,Safari 11,,2018-03-20 19:43:32,2018-03-20 19:43:37,"5,007s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-20 19:43:37,2018-03-20 19:43:37,"0,025s",PASSED
closeBrowser,Safari 11,,2018-03-20 19:43:37,2018-03-20 19:43:37,"0,070s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/07_Testfall,Safari 11,initial: Alle Filial-Akk. sind zugeklappt,2018-03-20 19:43:37,2018-03-20 19:43:54,"16,899s",PASSED
openBrowser,Safari 11,,2018-03-20 19:43:37,2018-03-20 19:43:39,"1,349s",PASSED
maximizeWindow,Safari 11,,2018-03-20 19:43:39,2018-03-20 19:43:39,"0,020s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 19:43:39,2018-03-20 19:43:39,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-20 19:43:39,2018-03-20 19:43:49,"10,157s",PASSED
delay,Safari 11,,2018-03-20 19:43:49,2018-03-20 19:43:54,"5,047s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-20 19:43:54,2018-03-20 19:43:54,"0,035s",PASSED
closeBrowser,Safari 11,,2018-03-20 19:43:54,2018-03-20 19:43:54,"0,078s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/08_Testfall,Safari 11,initial: Alle Filial-Akk. sind zugeklappt,2018-03-20 19:43:54,2018-03-20 19:44:04,"10,393s",PASSED
openBrowser,Safari 11,,2018-03-20 19:43:54,2018-03-20 19:43:56,"2,054s",PASSED
maximizeWindow,Safari 11,,2018-03-20 19:43:56,2018-03-20 19:43:56,"0,025s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 19:43:56,2018-03-20 19:43:56,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-20 19:43:56,2018-03-20 19:43:59,"3,043s",PASSED
delay,Safari 11,,2018-03-20 19:43:59,2018-03-20 19:44:04,"5,007s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-20 19:44:04,2018-03-20 19:44:04,"0,046s",PASSED
closeBrowser,Safari 11,,2018-03-20 19:44:04,2018-03-20 19:44:04,"0,070s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/09_Testfall,Safari 11,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-20 19:44:04,2018-03-20 19:44:16,"11,430s",PASSED
openBrowser,Safari 11,,2018-03-20 19:44:05,2018-03-20 19:44:06,"1,531s",PASSED
maximizeWindow,Safari 11,,2018-03-20 19:44:06,2018-03-20 19:44:06,"0,020s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 19:44:06,2018-03-20 19:44:06,"0,006s",PASSED
