Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prototyp GAA (RC18) 13_03_2018,Chrome 64.0.3282.186,,2018-03-13 10:44:54,2018-03-13 10:49:17,"4m - 23,150s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/01_Testfall,Chrome 64.0.3282.186,Fehler:\nAkk=100\nGAA_Maps=99\n\n\nInitial: Die ersten 100 GAAs der Bank sind angezeigt\ncount=100,2018-03-13 10:44:55,2018-03-13 10:45:28,"32,619s",FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:44:56,2018-03-13 10:45:03,"7,425s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:45:03,2018-03-13 10:45:06,"2,492s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-13 10:45:06,2018-03-13 10:45:07,"1,281s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-13 10:45:07,2018-03-13 10:45:21,"13,878s",PASSED
delay,Chrome 64.0.3282.186,,2018-03-13 10:45:21,2018-03-13 10:45:26,"5,014s",PASSED
"Statement - wes1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(gaa_map), 5)",Chrome 64.0.3282.186,,2018-03-13 10:45:26,2018-03-13 10:45:27,"0,798s",PASSED
"Statement - wes2 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(loc_steet_filialsuche), 5)",Chrome 64.0.3282.186,,2018-03-13 10:45:27,2018-03-13 10:45:27,"0,029s",PASSED
Statement - filial_maps_count = wes1.size(),Chrome 64.0.3282.186,,2018-03-13 10:45:27,2018-03-13 10:45:27,"0,001s",PASSED
Statement - filial_accordeon_count = wes2.size(),Chrome 64.0.3282.186,,2018-03-13 10:45:27,2018-03-13 10:45:27,"0,000s",PASSED
Statement - filial_count = 100,Chrome 64.0.3282.186,,2018-03-13 10:45:27,2018-03-13 10:45:27,"0,000s",PASSED
Statement - If (filial_maps_count != filial_count),Chrome 64.0.3282.186,,2018-03-13 10:45:27,2018-03-13 10:45:28,"0,775s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/03_Testfall,Chrome 64.0.3282.186,initial: Alle Filial-Akk. sind zugeklappt,2018-03-13 10:45:28,2018-03-13 10:45:43,"15,181s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:45:28,2018-03-13 10:45:32,"4,141s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-13 10:45:32,2018-03-13 10:45:33,"1,227s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:45:33,2018-03-13 10:45:34,"1,350s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-13 10:45:34,2018-03-13 10:45:36,"1,604s",PASSED
delay,Chrome 64.0.3282.186,,2018-03-13 10:45:36,2018-03-13 10:45:41,"5,023s",PASSED
verifyElementNotPresent,Chrome 64.0.3282.186,,2018-03-13 10:45:41,2018-03-13 10:45:42,"0,556s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-13 10:45:42,2018-03-13 10:45:43,"1,154s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/04_Testfall,Chrome 64.0.3282.186,Alle 100 Filialen (GAA-Icons) sind auf der Karte angezeigt,2018-03-13 10:45:43,2018-03-13 10:46:06,"23,637s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:45:43,2018-03-13 10:45:47,"4,007s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:45:47,2018-03-13 10:45:50,"2,410s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-13 10:45:50,2018-03-13 10:45:51,"1,221s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-13 10:45:51,2018-03-13 10:45:53,"2,328s",PASSED
delay,Chrome 64.0.3282.186,,2018-03-13 10:45:53,2018-03-13 10:46:01,"8,000s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(gaa_map), 5)",Chrome 64.0.3282.186,,2018-03-13 10:46:01,2018-03-13 10:46:02,"1,122s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Chrome 64.0.3282.186,,2018-03-13 10:46:02,2018-03-13 10:46:05,"3,025s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-13 10:46:05,2018-03-13 10:46:06,"1,095s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/05_Testfall,Chrome 64.0.3282.186,Entfernungsangabe wird nicht angezeigt,2018-03-13 10:46:06,2018-03-13 10:46:37,"30,089s",FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:46:07,2018-03-13 10:46:09,"2,449s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-13 10:46:09,2018-03-13 10:46:10,"1,195s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:46:10,2018-03-13 10:46:12,"1,724s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-13 10:46:12,2018-03-13 10:46:21,"8,951s",PASSED
delay,Chrome 64.0.3282.186,,2018-03-13 10:46:21,2018-03-13 10:46:26,"5,001s",PASSED
verifyElementNotPresent,Chrome 64.0.3282.186,,2018-03-13 10:46:26,2018-03-13 10:46:37,"10,668s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/06_Testfall,Chrome 64.0.3282.186,"GAA-count=70 (Dropdown: Ergebnis bei Auswahl eines Ortes z.B. Berlin)\nAlle Filialen, bei denen im Feld \""City\"" dieser Ort steht, sind angezeigt (Akk. und Filial-Icons) ",2018-03-13 10:46:37,2018-03-13 10:47:05,"28,341s",FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:46:38,2018-03-13 10:46:49,"11,225s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:46:49,2018-03-13 10:46:55,"6,041s",PASSED
