Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prototyp Filialsuche (RC18) 13_03_2018,IE 11,,2018-03-13 10:44:53,2018-03-13 11:09:23,"24m - 30,326s",FAILED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/01_Testfall,IE 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-13 10:44:54,2018-03-13 10:45:29,"34,908s",PASSED
openBrowser,IE 11,,2018-03-13 10:44:55,2018-03-13 10:45:07,"12,087s",PASSED
deleteAllCookies,IE 11,,2018-03-13 10:45:07,2018-03-13 10:45:07,"0,087s",PASSED
maximizeWindow,IE 11,,2018-03-13 10:45:07,2018-03-13 10:45:07,"0,037s",PASSED
navigateToUrl,IE 11,,2018-03-13 10:45:07,2018-03-13 10:45:17,"9,848s",PASSED
delay,IE 11,,2018-03-13 10:45:17,2018-03-13 10:45:22,"5,019s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",IE 11,,2018-03-13 10:45:22,2018-03-13 10:45:24,"2,039s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",IE 11,,2018-03-13 10:45:24,2018-03-13 10:45:28,"4,341s",PASSED
closeBrowser,IE 11,,2018-03-13 10:45:28,2018-03-13 10:45:29,"0,587s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/02_Testfall,IE 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-13 10:45:29,2018-03-13 10:45:38,"9,654s",PASSED
openBrowser,IE 11,,2018-03-13 10:45:29,2018-03-13 10:45:31,"2,074s",PASSED
deleteAllCookies,IE 11,,2018-03-13 10:45:31,2018-03-13 10:45:31,"0,082s",PASSED
maximizeWindow,IE 11,,2018-03-13 10:45:31,2018-03-13 10:45:31,"0,040s",PASSED
navigateToUrl,IE 11,,2018-03-13 10:45:31,2018-03-13 10:45:32,"0,995s",PASSED
delay,IE 11,,2018-03-13 10:45:32,2018-03-13 10:45:37,"5,000s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",IE 11,,2018-03-13 10:45:37,2018-03-13 10:45:37,"0,047s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",IE 11,,2018-03-13 10:45:37,2018-03-13 10:45:38,"0,735s",PASSED
closeBrowser,IE 11,,2018-03-13 10:45:38,2018-03-13 10:45:38,"0,525s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/03_Testfall,IE 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-13 10:45:38,2018-03-13 10:45:49,"10,466s",PASSED
openBrowser,IE 11,,2018-03-13 10:45:39,2018-03-13 10:45:41,"2,076s",PASSED
deleteAllCookies,IE 11,,2018-03-13 10:45:41,2018-03-13 10:45:41,"0,024s",PASSED
maximizeWindow,IE 11,,2018-03-13 10:45:41,2018-03-13 10:45:41,"0,012s",PASSED
navigateToUrl,IE 11,,2018-03-13 10:45:41,2018-03-13 10:45:41,"0,783s",PASSED
delay,IE 11,,2018-03-13 10:45:41,2018-03-13 10:45:46,"5,001s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",IE 11,,2018-03-13 10:45:46,2018-03-13 10:45:47,"0,717s",PASSED
