Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"Statement - city_name = ""Berlin""",Safari 11,,2018-03-20 09:36:42,2018-03-20 09:36:42,"0,001s",PASSED
Statement - If (filial_maps_count != filial_count),Safari 11,,2018-03-20 09:36:42,2018-03-20 09:36:42,"0,001s",PASSED
"Statement - For ([i = 0, i < wes3.size(), (i++)])",Safari 11,,2018-03-20 09:36:42,2018-03-20 09:36:42,"0,001s",PASSED
closeBrowser,Safari 11,,2018-03-20 09:36:42,2018-03-20 09:36:42,"0,073s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/15_Testfall,Safari 11,Es wird Paginierung bei Auswahl eines Ortes (Berlin) gepr\u00FCft,2018-03-20 09:36:42,2018-03-20 09:37:01,"18,280s",PASSED
openBrowser,Safari 11,,2018-03-20 09:36:43,2018-03-20 09:36:45,"2,498s",PASSED
maximizeWindow,Safari 11,,2018-03-20 09:36:45,2018-03-20 09:36:45,"0,021s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 09:36:45,2018-03-20 09:36:45,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-20 09:36:45,2018-03-20 09:36:47,"1,610s",PASSED
delay,Safari 11,,2018-03-20 09:36:47,2018-03-20 09:36:52,"5,056s",PASSED
click,Safari 11,,2018-03-20 09:36:52,2018-03-20 09:36:52,"0,168s",PASSED
delay,Safari 11,,2018-03-20 09:36:52,2018-03-20 09:36:54,"2,012s",PASSED
mouseOver,Safari 11,,2018-03-20 09:36:54,2018-03-20 09:36:54,"0,060s",PASSED
delay,Safari 11,,2018-03-20 09:36:54,2018-03-20 09:36:56,"2,007s",PASSED
click,Safari 11,,2018-03-20 09:36:56,2018-03-20 09:36:56,"0,033s",PASSED
delay,Safari 11,,2018-03-20 09:36:56,2018-03-20 09:36:58,"2,009s",PASSED
click,Safari 11,,2018-03-20 09:36:58,2018-03-20 09:36:58,"0,094s",PASSED
verifyTextPresent,Safari 11,,2018-03-20 09:36:58,2018-03-20 09:36:58,"0,181s",PASSED
verifyTextPresent,Safari 11,,2018-03-20 09:36:58,2018-03-20 09:36:58,"0,037s",PASSED
verifyTextPresent,Safari 11,,2018-03-20 09:36:58,2018-03-20 09:36:59,"0,191s",PASSED
click,Safari 11,,2018-03-20 09:36:59,2018-03-20 09:36:59,"0,151s",PASSED
click,Safari 11,,2018-03-20 09:36:59,2018-03-20 09:36:59,"0,169s",PASSED
click,Safari 11,,2018-03-20 09:36:59,2018-03-20 09:36:59,"0,087s",PASSED
click,Safari 11,,2018-03-20 09:36:59,2018-03-20 09:36:59,"0,156s",PASSED
click,Safari 11,,2018-03-20 09:36:59,2018-03-20 09:36:59,"0,136s",PASSED
click,Safari 11,,2018-03-20 09:36:59,2018-03-20 09:36:59,"0,067s",PASSED
click,Safari 11,,2018-03-20 09:36:59,2018-03-20 09:37:00,"0,079s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,119s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,054s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,058s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,054s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,040s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,046s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,045s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,048s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,059s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,087s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,072s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,060s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,055s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,062s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:00,"0,098s",PASSED
click,Safari 11,,2018-03-20 09:37:00,2018-03-20 09:37:01,"0,059s",PASSED
click,Safari 11,,2018-03-20 09:37:01,2018-03-20 09:37:01,"0,063s",PASSED
closeBrowser,Safari 11,,2018-03-20 09:37:01,2018-03-20 09:37:01,"0,082s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/16_Testfall,Safari 11,Es wird Paginierung bei Auswahl eines Ortes (Berlin) gepr\u00FCft,2018-03-20 09:37:01,2018-03-20 09:37:14,"13,241s",PASSED
openBrowser,Safari 11,,2018-03-20 09:37:01,2018-03-20 09:37:03,"2,433s",PASSED
maximizeWindow,Safari 11,,2018-03-20 09:37:03,2018-03-20 09:37:03,"0,022s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 09:37:03,2018-03-20 09:37:03,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-20 09:37:03,2018-03-20 09:37:05,"1,560s",PASSED
delay,Safari 11,,2018-03-20 09:37:05,2018-03-20 09:37:10,"5,067s",PASSED
delay,Safari 11,,2018-03-20 09:37:10,2018-03-20 09:37:12,"2,006s",PASSED
click,Safari 11,,2018-03-20 09:37:12,2018-03-20 09:37:12,"0,132s",PASSED
click,Safari 11,,2018-03-20 09:37:12,2018-03-20 09:37:12,"0,081s",PASSED
click,Safari 11,,2018-03-20 09:37:12,2018-03-20 09:37:12,"0,082s",PASSED
click,Safari 11,,2018-03-20 09:37:12,2018-03-20 09:37:12,"0,081s",PASSED
click,Safari 11,,2018-03-20 09:37:12,2018-03-20 09:37:12,"0,073s",PASSED
click,Safari 11,,2018-03-20 09:37:12,2018-03-20 09:37:13,"0,079s",PASSED
click,Safari 11,,2018-03-20 09:37:13,2018-03-20 09:37:13,"0,083s",PASSED
click,Safari 11,,2018-03-20 09:37:13,2018-03-20 09:37:13,"0,064s",PASSED
click,Safari 11,,2018-03-20 09:37:13,2018-03-20 09:37:13,"0,067s",PASSED
click,Safari 11,,2018-03-20 09:37:13,2018-03-20 09:37:13,"0,084s",PASSED
click,Safari 11,,2018-03-20 09:37:13,2018-03-20 09:37:13,"0,086s",PASSED
click,Safari 11,,2018-03-20 09:37:13,2018-03-20 09:37:13,"0,102s",PASSED
click,Safari 11,,2018-03-20 09:37:13,2018-03-20 09:37:13,"0,079s",PASSED
click,Safari 11,,2018-03-20 09:37:13,2018-03-20 09:37:13,"0,083s",PASSED
click,Safari 11,,2018-03-20 09:37:13,2018-03-20 09:37:13,"0,084s",PASSED
click,Safari 11,,2018-03-20 09:37:13,2018-03-20 09:37:13,"0,096s",PASSED
click,Safari 11,,2018-03-20 09:37:13,2018-03-20 09:37:14,"0,112s",PASSED
click,Safari 11,,2018-03-20 09:37:14,2018-03-20 09:37:14,"0,078s",PASSED
click,Safari 11,,2018-03-20 09:37:14,2018-03-20 09:37:14,"0,055s",PASSED
click,Safari 11,,2018-03-20 09:37:14,2018-03-20 09:37:14,"0,061s",PASSED
click,Safari 11,,2018-03-20 09:37:14,2018-03-20 09:37:14,"0,069s",PASSED
click,Safari 11,,2018-03-20 09:37:14,2018-03-20 09:37:14,"0,077s",PASSED
click,Safari 11,,2018-03-20 09:37:14,2018-03-20 09:37:14,"0,066s",PASSED
closeBrowser,Safari 11,,2018-03-20 09:37:14,2018-03-20 09:37:14,"0,034s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/17_Testfall,Safari 11,"Es wird Paginierung nach Eingabe von Berlin gepr\u00FCft.\nCheck \""Bargeld im Einzelhandel\"" wird angeklickt.",2018-03-20 09:37:14,2018-03-20 09:37:28,"14,454s",PASSED
openBrowser,Safari 11,,2018-03-20 09:37:14,2018-03-20 09:37:16,"2,151s",PASSED
