Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 64.0.3282.186,,2018-03-13 10:46:58,2018-03-13 10:47:03,"5,001s",PASSED
verifyElementNotPresent,Chrome 64.0.3282.186,,2018-03-13 10:47:03,2018-03-13 10:47:03,"0,071s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-13 10:47:03,2018-03-13 10:47:03,"0,696s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/06_Testfall,Chrome 64.0.3282.186,initial: Alle Filial-Akk. sind zugeklappt,2018-03-13 10:47:03,2018-03-13 10:47:17,"13,368s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:47:03,2018-03-13 10:47:07,"3,638s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-13 10:47:07,2018-03-13 10:47:08,"1,173s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:47:08,2018-03-13 10:47:09,"0,622s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-13 10:47:09,2018-03-13 10:47:11,"1,869s",PASSED
delay,Chrome 64.0.3282.186,,2018-03-13 10:47:11,2018-03-13 10:47:16,"5,000s",PASSED
verifyElementNotPresent,Chrome 64.0.3282.186,,2018-03-13 10:47:16,2018-03-13 10:47:16,"0,027s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-13 10:47:16,2018-03-13 10:47:17,"0,854s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/07_Testfall,Chrome 64.0.3282.186,initial: Alle Filial-Akk. sind zugeklappt,2018-03-13 10:47:17,2018-03-13 10:47:34,"17,514s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:47:17,2018-03-13 10:47:21,"4,453s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-13 10:47:21,2018-03-13 10:47:23,"1,264s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:47:23,2018-03-13 10:47:24,"1,787s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-13 10:47:24,2018-03-13 10:47:28,"4,053s",PASSED
delay,Chrome 64.0.3282.186,,2018-03-13 10:47:28,2018-03-13 10:47:33,"5,001s",PASSED
verifyElementNotPresent,Chrome 64.0.3282.186,,2018-03-13 10:47:33,2018-03-13 10:47:33,"0,020s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-13 10:47:33,2018-03-13 10:47:34,"0,772s",PASSED
,,,,,,
