Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prototyp GAA (RC18) 13_03_2018,Firefox 58.0,,2018-03-13 10:44:50,2018-03-13 10:50:08,"5m - 18,033s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/01_Testfall,Firefox 58.0,Fehler:\nAkk=100\nGAA_Maps=99\n\n\nInitial: Die ersten 100 GAAs der Bank sind angezeigt\ncount=100,2018-03-13 10:44:51,2018-03-13 10:45:27,"35,695s",FAILED
openBrowser,Firefox 58.0,,2018-03-13 10:44:52,2018-03-13 10:45:11,"19,449s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-13 10:45:11,2018-03-13 10:45:11,"0,014s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:45:11,2018-03-13 10:45:11,"0,079s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-13 10:45:11,2018-03-13 10:45:21,"9,638s",PASSED
delay,Firefox 58.0,,2018-03-13 10:45:21,2018-03-13 10:45:26,"5,015s",PASSED
"Statement - wes1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(gaa_map), 5)",Firefox 58.0,,2018-03-13 10:45:26,2018-03-13 10:45:26,"0,108s",PASSED
"Statement - wes2 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(loc_steet_filialsuche), 5)",Firefox 58.0,,2018-03-13 10:45:26,2018-03-13 10:45:26,"0,064s",PASSED
Statement - filial_maps_count = wes1.size(),Firefox 58.0,,2018-03-13 10:45:26,2018-03-13 10:45:26,"0,001s",PASSED
Statement - filial_accordeon_count = wes2.size(),Firefox 58.0,,2018-03-13 10:45:26,2018-03-13 10:45:26,"0,002s",PASSED
Statement - filial_count = 100,Firefox 58.0,,2018-03-13 10:45:26,2018-03-13 10:45:26,"0,001s",PASSED
Statement - If (filial_maps_count != filial_count),Firefox 58.0,,2018-03-13 10:45:26,2018-03-13 10:45:27,"0,737s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/03_Testfall,Firefox 58.0,initial: Alle Filial-Akk. sind zugeklappt,2018-03-13 10:45:27,2018-03-13 10:45:55,"28,177s",PASSED
openBrowser,Firefox 58.0,,2018-03-13 10:45:27,2018-03-13 10:45:43,"15,794s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:45:43,2018-03-13 10:45:43,"0,047s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-13 10:45:43,2018-03-13 10:45:43,"0,005s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-13 10:45:43,2018-03-13 10:45:49,"5,982s",PASSED
delay,Firefox 58.0,,2018-03-13 10:45:49,2018-03-13 10:45:54,"5,002s",PASSED
verifyElementNotPresent,Firefox 58.0,,2018-03-13 10:45:54,2018-03-13 10:45:54,"0,128s",PASSED
closeBrowser,Firefox 58.0,,2018-03-13 10:45:54,2018-03-13 10:45:55,"1,122s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/04_Testfall,Firefox 58.0,Alle 100 Filialen (GAA-Icons) sind auf der Karte angezeigt,2018-03-13 10:45:55,2018-03-13 10:46:05,"9,804s",FAILED
openBrowser,Firefox 58.0,,2018-03-13 10:45:55,2018-03-13 10:46:05,"9,545s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/05_Testfall,Firefox 58.0,Entfernungsangabe wird nicht angezeigt,2018-03-13 10:46:05,2018-03-13 10:46:52,"46,832s",PASSED
openBrowser,Firefox 58.0,,2018-03-13 10:46:05,2018-03-13 10:46:14,"9,120s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:46:14,2018-03-13 10:46:14,"0,039s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-13 10:46:14,2018-03-13 10:46:14,"0,014s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-13 10:46:14,2018-03-13 10:46:45,"31,207s",PASSED
delay,Firefox 58.0,,2018-03-13 10:46:45,2018-03-13 10:46:50,"5,002s",PASSED
verifyElementNotPresent,Firefox 58.0,,2018-03-13 10:46:50,2018-03-13 10:46:50,"0,013s",PASSED
closeBrowser,Firefox 58.0,,2018-03-13 10:46:50,2018-03-13 10:46:52,"1,357s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/06_Testfall,Firefox 58.0,"GAA-count=70 (Dropdown: Ergebnis bei Auswahl eines Ortes z.B. Berlin)\nAlle Filialen, bei denen im Feld \""City\"" dieser Ort steht, sind angezeigt (Akk. und Filial-Icons) ",2018-03-13 10:46:52,2018-03-13 10:47:38,"46,310s",FAILED
openBrowser,Firefox 58.0,,2018-03-13 10:46:52,2018-03-13 10:47:10,"17,987s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-13 10:47:10,2018-03-13 10:47:10,"0,004s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:47:10,2018-03-13 10:47:10,"0,029s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-13 10:47:10,2018-03-13 10:47:16,"6,345s",PASSED
delay,Firefox 58.0,,2018-03-13 10:47:16,2018-03-13 10:47:21,"5,002s",PASSED
click,Firefox 58.0,,2018-03-13 10:47:21,2018-03-13 10:47:22,"0,359s",PASSED
