Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Safari 11,,2018-03-22 18:51:48,2018-03-22 18:51:48,"0,498s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/15_Testfall,Safari 11,Es wird Paginierung bei Auswahl eines Ortes (Berlin) gepr\u00FCft,2018-03-22 18:51:48,2018-03-22 18:52:02,"13,512s",FAILED
openBrowser,Safari 11,,2018-03-22 18:51:48,2018-03-22 18:51:50,"2,128s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:51:50,2018-03-22 18:51:50,"0,030s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:51:50,2018-03-22 18:51:51,"0,008s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:51:51,2018-03-22 18:51:52,"1,325s",PASSED
delay,Safari 11,,2018-03-22 18:51:52,2018-03-22 18:51:57,"5,007s",PASSED
click,Safari 11,,2018-03-22 18:51:57,2018-03-22 18:51:57,"0,249s",PASSED
delay,Safari 11,,2018-03-22 18:51:57,2018-03-22 18:51:59,"2,005s",PASSED
mouseOver,Safari 11,,2018-03-22 18:51:59,2018-03-22 18:51:59,"0,058s",PASSED
delay,Safari 11,,2018-03-22 18:51:59,2018-03-22 18:52:01,"2,005s",PASSED
click,Safari 11,,2018-03-22 18:52:01,2018-03-22 18:52:02,"0,475s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/16_Testfall,Safari 11,Es wird Paginierung bei Auswahl eines Ortes (Berlin) gepr\u00FCft,2018-03-22 18:52:02,2018-03-22 18:52:17,"15,010s",PASSED
openBrowser,Safari 11,,2018-03-22 18:52:02,2018-03-22 18:52:05,"2,661s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:52:05,2018-03-22 18:52:05,"0,019s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:52:05,2018-03-22 18:52:05,"0,008s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:52:05,2018-03-22 18:52:06,"1,195s",PASSED
delay,Safari 11,,2018-03-22 18:52:06,2018-03-22 18:52:11,"5,006s",PASSED
delay,Safari 11,,2018-03-22 18:52:11,2018-03-22 18:52:13,"2,007s",PASSED
click,Safari 11,,2018-03-22 18:52:13,2018-03-22 18:52:13,"0,392s",PASSED
click,Safari 11,,2018-03-22 18:52:13,2018-03-22 18:52:14,"0,661s",PASSED
click,Safari 11,,2018-03-22 18:52:14,2018-03-22 18:52:14,"0,313s",PASSED
click,Safari 11,,2018-03-22 18:52:14,2018-03-22 18:52:14,"0,211s",PASSED
click,Safari 11,,2018-03-22 18:52:14,2018-03-22 18:52:14,"0,099s",PASSED
click,Safari 11,,2018-03-22 18:52:14,2018-03-22 18:52:15,"0,109s",PASSED
click,Safari 11,,2018-03-22 18:52:15,2018-03-22 18:52:15,"0,115s",PASSED
click,Safari 11,,2018-03-22 18:52:15,2018-03-22 18:52:15,"0,082s",PASSED
click,Safari 11,,2018-03-22 18:52:15,2018-03-22 18:52:15,"0,079s",PASSED
click,Safari 11,,2018-03-22 18:52:15,2018-03-22 18:52:15,"0,123s",PASSED
click,Safari 11,,2018-03-22 18:52:15,2018-03-22 18:52:15,"0,140s",PASSED
click,Safari 11,,2018-03-22 18:52:15,2018-03-22 18:52:15,"0,081s",PASSED
click,Safari 11,,2018-03-22 18:52:15,2018-03-22 18:52:15,"0,119s",PASSED
click,Safari 11,,2018-03-22 18:52:15,2018-03-22 18:52:15,"0,087s",PASSED
click,Safari 11,,2018-03-22 18:52:15,2018-03-22 18:52:15,"0,097s",PASSED
click,Safari 11,,2018-03-22 18:52:15,2018-03-22 18:52:16,"0,084s",PASSED
click,Safari 11,,2018-03-22 18:52:16,2018-03-22 18:52:16,"0,113s",PASSED
click,Safari 11,,2018-03-22 18:52:16,2018-03-22 18:52:16,"0,082s",PASSED
click,Safari 11,,2018-03-22 18:52:16,2018-03-22 18:52:16,"0,418s",PASSED
click,Safari 11,,2018-03-22 18:52:16,2018-03-22 18:52:16,"0,179s",PASSED
click,Safari 11,,2018-03-22 18:52:16,2018-03-22 18:52:16,"0,085s",PASSED
