Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prototyp GAA (RC18) 13_03_2018,IE 11,,2018-03-13 10:44:55,2018-03-13 10:50:07,"5m - 11,892s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/01_Testfall,IE 11,Fehler:\nAkk=100\nGAA_Maps=99\n\n\nInitial: Die ersten 100 GAAs der Bank sind angezeigt\ncount=100,2018-03-13 10:44:55,2018-03-13 10:45:25,"29,577s",FAILED
openBrowser,IE 11,,2018-03-13 10:44:56,2018-03-13 10:45:07,"10,585s",PASSED
deleteAllCookies,IE 11,,2018-03-13 10:45:07,2018-03-13 10:45:07,"0,078s",PASSED
maximizeWindow,IE 11,,2018-03-13 10:45:07,2018-03-13 10:45:07,"0,093s",PASSED
navigateToUrl,IE 11,,2018-03-13 10:45:07,2018-03-13 10:45:17,"10,148s",PASSED
delay,IE 11,,2018-03-13 10:45:17,2018-03-13 10:45:22,"5,013s",PASSED
"Statement - wes1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(gaa_map), 5)",IE 11,,2018-03-13 10:45:22,2018-03-13 10:45:24,"1,719s",PASSED
"Statement - wes2 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(loc_steet_filialsuche), 5)",IE 11,,2018-03-13 10:45:24,2018-03-13 10:45:24,"0,369s",PASSED
Statement - filial_maps_count = wes1.size(),IE 11,,2018-03-13 10:45:24,2018-03-13 10:45:24,"0,001s",PASSED
Statement - filial_accordeon_count = wes2.size(),IE 11,,2018-03-13 10:45:24,2018-03-13 10:45:24,"0,001s",PASSED
Statement - filial_count = 100,IE 11,,2018-03-13 10:45:24,2018-03-13 10:45:24,"0,000s",PASSED
Statement - If (filial_maps_count != filial_count),IE 11,,2018-03-13 10:45:24,2018-03-13 10:45:25,"0,854s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/03_Testfall,IE 11,initial: Alle Filial-Akk. sind zugeklappt,2018-03-13 10:45:25,2018-03-13 10:45:35,"9,909s",PASSED
openBrowser,IE 11,,2018-03-13 10:45:25,2018-03-13 10:45:27,"2,287s",PASSED
maximizeWindow,IE 11,,2018-03-13 10:45:27,2018-03-13 10:45:27,"0,033s",PASSED
deleteAllCookies,IE 11,,2018-03-13 10:45:27,2018-03-13 10:45:28,"0,040s",PASSED
navigateToUrl,IE 11,,2018-03-13 10:45:28,2018-03-13 10:45:29,"1,001s",PASSED
delay,IE 11,,2018-03-13 10:45:29,2018-03-13 10:45:34,"5,001s",PASSED
verifyElementNotPresent,IE 11,,2018-03-13 10:45:34,2018-03-13 10:45:34,"0,881s",PASSED
closeBrowser,IE 11,,2018-03-13 10:45:34,2018-03-13 10:45:35,"0,574s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/04_Testfall,IE 11,Alle 100 Filialen (GAA-Icons) sind auf der Karte angezeigt,2018-03-13 10:45:35,2018-03-13 10:45:57,"21,892s",PASSED
openBrowser,IE 11,,2018-03-13 10:45:35,2018-03-13 10:45:37,"2,298s",PASSED
deleteAllCookies,IE 11,,2018-03-13 10:45:37,2018-03-13 10:45:38,"0,145s",PASSED
maximizeWindow,IE 11,,2018-03-13 10:45:38,2018-03-13 10:45:38,"0,018s",PASSED
navigateToUrl,IE 11,,2018-03-13 10:45:38,2018-03-13 10:45:42,"4,568s",PASSED
delay,IE 11,,2018-03-13 10:45:42,2018-03-13 10:45:50,"8,001s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(gaa_map), 5)",IE 11,,2018-03-13 10:45:50,2018-03-13 10:45:51,"0,480s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",IE 11,,2018-03-13 10:45:51,2018-03-13 10:45:56,"5,512s",PASSED
closeBrowser,IE 11,,2018-03-13 10:45:56,2018-03-13 10:45:57,"0,673s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/05_Testfall,IE 11,Entfernungsangabe wird nicht angezeigt,2018-03-13 10:45:57,2018-03-13 10:46:08,"11,587s",PASSED
openBrowser,IE 11,,2018-03-13 10:45:57,2018-03-13 10:46:02,"4,786s",PASSED
maximizeWindow,IE 11,,2018-03-13 10:46:02,2018-03-13 10:46:02,"0,013s",PASSED
deleteAllCookies,IE 11,,2018-03-13 10:46:02,2018-03-13 10:46:02,"0,022s",PASSED
navigateToUrl,IE 11,,2018-03-13 10:46:02,2018-03-13 10:46:03,"0,856s",PASSED
delay,IE 11,,2018-03-13 10:46:03,2018-03-13 10:46:08,"5,000s",PASSED
verifyElementNotPresent,IE 11,,2018-03-13 10:46:08,2018-03-13 10:46:08,"0,285s",PASSED
